date,title,type,category
"Apr 22, 2020",Suspension of Entry of Immigrants Who Present a Risk to the United States Labor Market During the Economic Recovery Following the 2019 Novel Coronavirus Outbreak,Proclamations,Labor/Immigration
"Apr 24, 2020","World Intellectual Property Day, 2020",Proclamations,Events
"Apr 29, 2020","Asian American and Pacific Islander Heritage Month, 2020",Proclamations,Events
"Apr 29, 2020","Jewish American Heritage Month, 2020",Proclamations,Events
"Apr 29, 2020","Law Day, U.S.A., 2020",Proclamations,Events
"Apr 30, 2020","National Foster Care Month, 2020",Proclamations,Events
"Apr 30, 2020","National Mental Health Awareness Month, 2020",Proclamations,Events
"Apr 30, 2020","National Physical Fitness and Sports Month, 2020",Proclamations,Events
"Apr 30, 2020","Older Americans Month, 2020",Proclamations,Events
"Apr 30, 2020","Loyalty Day, 2020",Proclamations,Events
"May 1, 2020","National Hurricane Preparedness Week, 2020",Proclamations,Events
"May 1, 2020","Public Service Recognition Week, 2020",Proclamations,Events
"May 5, 2020","Missing and Murdered American Indians and Alaska Natives Awareness Day, 2020",Proclamations,Events
"May 6, 2020","National Day of Prayer, 2020",Proclamations,Events
"May 6, 2020","National Nurses Day, 2020",Proclamations,Events
"May 7, 2020","Military Spouse Day, 2020",Proclamations,Events
"May 8, 2020","National Charter Schools Week, 2020",Proclamations,Events
"May 8, 2020","National Defense Transportation Day and National Transportation Week, 2020",Proclamations,Events
"May 8, 2020","Peace Officers Memorial Day and Police Week, 2020",Proclamations,Events
"May 8, 2020","Mother's Day, 2020",Proclamations,Events
"May 15, 2020","Armed Forces Day, 2020",Proclamations,Events
"May 15, 2020","National Safe Boating Week, 2020",Proclamations,Events
"May 15, 2020","Emergency Medical Services Week, 2020",Proclamations,Events
"May 15, 2020","World Trade Week, 2020",Proclamations,Events
"May 21, 2020","National Maritime Day, 2020",Proclamations,Events
"May 21, 2020",Honoring the Victims of the Novel Coronavirus Pandemic,Proclamations,Events
"May 21, 2020","Prayer for Peace, Memorial Day, 2020",Proclamations,Events
"May 24, 2020",Suspension of Entry as Immigrants and Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus,Proclamations,Labor/Immigration
"May 25, 2020","Amendment to Proclamation of May 24, 2020, Suspending Entry as Immigrants and Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus",Proclamations,Labor/Immigration
"May 29, 2020",Suspension of Entry as Nonimmigrants of Certain Students and Researchers From the People's Republic of China,Proclamations,Labor/Immigration
"May 29, 2020","African-American Music Appreciation Month, 2020",Proclamations,Events
"May 29, 2020","Great Outdoors Month, 2020",Proclamations,Events
"May 29, 2020","National Caribbean-American Heritage Month, 2020",Proclamations,Events
"May 29, 2020","National Homeownership Month, 2020",Proclamations,Events
"May 29, 2020","National Ocean Month, 2020",Proclamations,Events
"Jun 5, 2020",Modifying the Northeast Canyons and Seamounts Marine National Monument,Proclamations,Energy
"Jun 12, 2020","Flag Day and National Flag Week, 2020",Proclamations,Events
"Jun 19, 2020","Father's Day, 2020",Proclamations,Events
"Jun 22, 2020",Suspension of Entry of Immigrants and Nonimmigrants Who Present a Risk to the United States Labor Market During the Economic Recovery Following the 2019 Novel Coronavirus Outbreak,Proclamations,Labor/Immigration
"Jun 29, 2020",To Take Certain Actions Under the United States- Mexico-Canada Agreement Implementation Act and for Other Purposes,Proclamations,Economy
"Jun 29, 2020",Amendment to Proclamation 10052,Proclamations,Labor/Immigration
"Aug 6, 2020",Adjusting Imports of Aluminum Into the United States,Proclamations,Economy
"Aug 14, 2020","National Employer Support of the Guard and Reserve Week, 2020",Proclamations,Events
"Jul 17, 2020","Captive Nations Week, 2020",Proclamations,Events
"Jul 24, 2020","Anniversary of the Americans With Disabilities Act, 2020",Proclamations,Events
"Jul 24, 2020","National Korean War Veterans Armistice Day, 2020",Proclamations,Events
"Jan 31, 2020","Career and Technical Education Month, 2020",Proclamations,Events
"Jul 18, 2020",Death of John Lewis,Proclamations,Events
"Aug 18, 2020",100th Anniversary of the Ratification of the Nineteenth Amendment,Proclamations,Events
"Oct 30, 2020",To Modify Duty-Free Treatment Under the Generalized System of Preferences and for Other Purposes,Proclamations,Economy
"Oct 16, 2020","National Character Counts Week, 2020",Proclamations,Events
"Oct 16, 2020","National Forest Products Week, 2020",Proclamations,Events
"Aug 25, 2020","Women's Equality Day, 2020",Proclamations,Events
"Aug 28, 2020",Adjusting Imports of Steel Into the United States,Proclamations,Economy
"Sep 9, 2020",Revision to United States Marine Scientific Research Policy,Proclamations,Energy
"Sep 10, 2020","Patriot Day, 2020",Proclamations,Events
"Oct 3, 2020","Fire Prevention Week, 2020",Proclamations,Events
"Oct 3, 2020","Made in America Day and Made in America Week, 2020",Proclamations,Events
